session,headline,bar_ix,decided_label,prob_positive,prob_negative,prob_neutral,linear_score,polarity_score,cluster
0,Orevex Renewables,51,neutral,0.07256998121738434,0.01744537241756916,0.9099846482276917,0.05512460879981518,0.6123911750763682,1
0,Yorvov Pharmaceuticals,53,positive,0.9423578977584839,0.01009058952331543,0.047551486641168594,0.9322673082351685,0.9788112635014652,0
0,Relvos Biosciences,55,positive,0.9438926577568054,0.01234863605350256,0.04375879466533661,0.9315440217033029,0.9741725511740169,0
0,Calvis Sciences,59,neutral,0.057537466287612915,0.037620075047016144,0.9048424363136292,0.01991739124059677,0.2093096432709,0
0,Calvis Sciences,62,negative,0.024790670722723007,0.9481847882270813,0.027024423703551292,-0.9233941175043583,-0.9490415282950673,0
0,Yorvov Pharmaceuticals,68,positive,0.9563539624214172,0.02015767991542816,0.023488372564315796,0.9361962825059891,0.9587149204969084,0
0,Relvos Biosciences,68,neutral,0.06785083562135696,0.016860362142324448,0.9152888059616089,0.050990473479032516,0.6019330882246218,0
0,Yorvov Pharmaceuticals,71,negative,0.01061298232525587,0.9512513279914856,0.038135673850774765,-0.9406383456662297,-0.9779324740498434,0
0,Orevex Renewables,74,neutral,0.23231539130210876,0.008152625523507595,0.7595319151878357,0.22416276577860117,0.9321936771698285,1
0,Calvis Sciences,82,neutral,0.09031442552804947,0.01193576492369175,0.8977497816085815,0.07837866060435772,0.766538032756153,0
0,Orevex Renewables,85,positive,0.9425347447395325,0.010617353022098541,0.046847909688949585,0.9319173917174339,0.9777215965093232,1
1,Halvav Brands,51,neutral,0.017041683197021484,0.07002755999565125,0.9129307866096497,-0.05298587679862976,-0.608548716483389,2
1,Zrovex Industries,63,negative,0.009520594030618668,0.9331250786781311,0.05735431984066963,-0.9236044846475124,-0.9798002689745325,1
1,Strynal Industries,66,positive,0.594060480594635,0.015924852341413498,0.3900146484375,0.5781356282532215,0.9477861123687834,1
1,Jorvis Fuels,70,negative,0.00874246284365654,0.9747524857521057,0.01650497503578663,-0.9660100229084492,-0.9822216405945962,1
1,Strynal Industries,76,positive,0.94936603307724,0.011856300756335258,0.038777727633714676,0.9375097323209047,0.975330782844558,1
1,Halvav Brands,77,neutral,0.05127931386232376,0.023782139644026756,0.9249385595321655,0.027497174218297005,0.3663288221515962,2
1,Zrovex Industries,81,negative,0.02471225894987583,0.9633343815803528,0.011953338049352169,-0.938622122630477,-0.9499775447612414,1
1,Strynal Industries,88,positive,0.9156985282897949,0.011417193338274956,0.07288417965173721,0.90428133495152,0.9753705097225384,1
1,Strynal Industries,89,negative,0.015343217179179192,0.9532092213630676,0.031447626650333405,-0.9378660041838884,-0.968317218453488,1
2,Kelvik Power,50,neutral,0.26951685547828674,0.010402749292552471,0.7200803756713867,0.25911410618573427,0.9256733034907968,1
2,Prynis Systems,52,negative,0.0266138706356287,0.9438470005989075,0.02953910268843174,-0.9172331299632788,-0.9451520985604522,4
2,Kelvos Resources,59,neutral,0.06080776825547218,0.03832508996129036,0.9008671045303345,0.022482678294181824,0.2267934010157168,1
2,Zelval Energy,62,neutral,0.2351410835981369,0.008115023374557495,0.7567439675331116,0.2270260602235794,0.933279999074322,1
2,Kelvik Power,65,negative,0.013638991862535477,0.9377124905586243,0.04864853248000145,-0.9240734986960888,-0.9713271223092265,1
2,Zelval Energy,69,neutral,0.041959818452596664,0.1333032250404358,0.824737012386322,-0.09134340658783913,-0.521178933368754,1
2,Kelvos Resources,71,positive,0.819098949432373,0.010340151377022266,0.17056092619895935,0.8087587980553508,0.9750671222167715,1
2,Prynis Systems,72,positive,0.9398264288902283,0.01069897972047329,0.0494745671749115,0.929127449169755,0.9774882815076871,4
2,Kelvos Resources,74,positive,0.9582192897796631,0.0189350713044405,0.022845610976219177,0.9392842184752226,0.9612444613887714,1
2,Prynis Systems,75,neutral,0.04747510328888893,0.023849518969655037,0.9286754131317139,0.023625584319233894,0.3312402258837559,4
2,Kelvos Resources,76,positive,0.6337835192680359,0.010166684165596962,0.35604971647262573,0.6236168351024389,0.9684240036089786,1
