session,target_position
1000,82.34186283252718
1001,30.263308744796642
1002,-12.00600473658345
1003,42.15947600863756
1004,28.013422321086583
1005,94.78504055716424
1006,51.33198827198752
1007,78.60238924248313
1008,28.89788481221894
1009,57.70722160068179
1010,29.581252554251336
1011,31.123867938107217
1012,88.21298636596018
1013,28.552114473201666
1014,25.804978992389568
1015,66.79037823365216
1016,46.179955061861406
1017,103.58919769132913
1018,14.74142316271191
1019,55.61135122713402
1020,25.508807692523177
1021,28.196742325208152
1022,52.24643997122137
1023,66.21534336734499
1024,28.846981342334228
1025,-0.8565199820307156
1026,14.04761661475855
1027,61.42358329686585
1028,42.05654370797521
1029,34.2166124768327
1030,-5.60344563482448
1031,66.57306624228595
1032,32.53141965775736
1033,71.4092865520773
1034,32.20777445232425
1035,-11.819272239201563
1036,37.20129140476863
1037,9.435505960736768
1038,46.325458087636264
1039,-12.057288480420768
1040,0.6961901281404147
1041,46.94787165834084
1042,91.18903426193316
1043,81.75739956346123
1044,98.26102284201768
1045,42.54218553505636
1046,22.398670255335613
1047,6.090599726886063
1048,20.247127080242738
1049,79.92399559612419
1050,70.05638767104206
1051,-6.44777897585626
1052,63.51885996646677
1053,-3.1845621653145404
1054,56.715141392080234
1055,47.85928320038751
1056,55.633100291792566
1057,-4.458367830349826
1058,75.03079718687795
1059,24.836862807378758
1060,-12.09319045279861
1061,89.10873567651996
1062,23.002569684015654
1063,26.388132441477918
1064,45.69325063983378
1065,13.423686453259762
1066,74.80394322128987
1067,51.08821757725536
1068,5.893009667044072
1069,21.328834908895786
1070,79.58092998833179
1071,20.12944855122985
1072,101.49969208190043
1073,98.3758348748239
1074,-3.124807890050882
1075,52.76610314891246
1076,56.456984977035674
1077,88.54574616819913
1078,40.76352929872842
1079,51.443954300555106
1080,30.69414229254442
1081,32.30275301870263
1082,8.925839809438639
1083,65.08864423740533
1084,29.2064674335589
1085,37.66984931939158
1086,78.28937271849975
1087,-12.058188223869344
1088,20.50020876889036
1089,-12.862369712560472
1090,17.325053249421813
1091,42.4423412266725
1092,39.337624511936696
1093,63.52356421344492
1094,53.82463392413409
1095,72.23473829463559
1096,-11.83394365478696
1097,29.348732554366794
1098,-8.992615648546385
1099,100.35531364755133
1100,60.672179319194626
1101,34.122906209428606
1102,93.41475788975275
1103,21.2293243579988
1104,80.2015768032961
1105,65.7330972220582
1106,59.05814556155752
1107,68.27196893617692
1108,102.68031230396369
1109,66.32175206087813
1110,29.12019493985954
1111,49.15983833531866
1112,58.682412627725526
1113,-11.693607732801228
1114,70.43227943331071
1115,66.79700945654994
1116,99.95174552673112
1117,-6.917127854154125
1118,6.531027495290859
1119,38.88608359585755
1120,-4.880745113937532
1121,88.25844037903154
1122,38.96829776950071
1123,-11.148160719538396
1124,7.0419821485053635
1125,66.44390768845452
1126,38.453548731625524
1127,64.35216006487676
1128,7.1107597953197885
1129,43.9721892090158
1130,79.34768165637023
1131,11.324826243244269
1132,-1.4073488734655213
1133,97.15496829836454
1134,72.36140252321802
1135,67.51098017577313
1136,98.17569463839244
1137,45.67456755331366
1138,46.54995759279452
1139,22.599751114477677
1140,54.17070925210346
1141,8.298458558075815
1142,95.28211943352932
1143,1.3935151841881117
1144,-12.025253887050068
1145,-12.28319132979897
1146,56.05824997082546
1147,33.351339553496075
1148,83.21889155508507
1149,51.054224308851744
1150,92.18549778441552
1151,99.04411950648672
1152,-12.448712540209737
1153,38.39781664564233
1154,12.88924153213351
1155,61.16615567207032
1156,43.513006758418584
1157,4.654737748909819
1158,38.260077987491826
1159,76.66220692721014
1160,11.231713301312716
1161,-11.941824339858472
1162,92.07861075244
1163,-0.05820383503082296
1164,25.440400439306316
1165,72.22707245264382
1166,58.17766111639451
1167,33.11160577314086
1168,91.34489400650665
1169,96.77598761725942
1170,52.03925573988381
1171,7.517827856647258
1172,48.25108780241205
1173,60.29217171406698
1174,56.70377161896033
1175,13.43319113987817
1176,-11.688281340538376
1177,-12.051502023785039
1178,82.51367256042819
1179,30.610146688874387
1180,22.62994664292872
1181,55.97900299029289
1182,31.800558114019417
1183,25.057763535924202
1184,82.79052853729193
1185,64.90530714977179
1186,14.73122341134263
1187,57.84260108779576
1188,63.48089929047153
1189,41.68063793782788
1190,35.071790864356835
1191,31.076179893538406
1192,47.196013138799565
1193,95.57796619766138
1194,81.81657367812221
1195,66.41680870817696
1196,57.68227204736715
1197,26.199287337022035
1198,64.80587444215257
1199,20.253824138528913
1200,14.78920248630587
1201,15.642615646914987
1202,80.27806069051817
1203,70.79480311254886
1204,45.152767010293225
1205,89.10114828572117
1206,72.74519058161603
1207,2.010894199001527
1208,64.63044768810902
1209,96.04982261218747
